provider,exchange,symbol,trading_symbol,instrument_token,symbol_token,instrument_type,expiry,strike,option_type,lot_size,tick_size
kite,NSE,NIFTY,NIFTY 50,0,,INDEX,,,,75,0.05
kite,NFO,NIFTY,NIFTY24MAY25000CE,0,,OPTIDX,2026-05-29,25000.0,CE,75,0.05
kite,NFO,NIFTY,NIFTY24MAY25000PE,0,,OPTIDX,2026-05-29,25000.0,PE,75,0.05
kite,NFO,BANKNIFTY,BANKNIFTY24MAY52000CE,0,,OPTIDX,2026-05-29,52000.0,CE,35,0.05
kite,NFO,BANKNIFTY,BANKNIFTY24MAY52000PE,0,,OPTIDX,2026-05-29,52000.0,PE,35,0.05
kite,NSE,RELIANCE,RELIANCE,0,,EQ,,,,1,0.05
kite,NSE,HDFCBANK,HDFCBANK,0,,EQ,,,,1,0.05
angelone,NSE,NIFTY,Nifty 50,,,INDEX,,,,75,0.05
angelone,NFO,NIFTY,NIFTY24MAY25000CE,,,OPTIDX,2026-05-29,25000.0,CE,75,0.05
angelone,NFO,NIFTY,NIFTY24MAY25000PE,,,OPTIDX,2026-05-29,25000.0,PE,75,0.05
angelone,NFO,BANKNIFTY,BANKNIFTY24MAY52000CE,,,OPTIDX,2026-05-29,52000.0,CE,35,0.05
angelone,NSE,RELIANCE,RELIANCE,,,EQ,,,,1,0.05
